order_id,date,time
1,1/1/2015,11:38:36
2,1/1/2015,11:57:40
3,1/1/2015,12:12:28
4,1/1/2015,12:16:31
5,1/1/2015,12:21:30
6,1/1/2015,12:29:36
7,1/1/2015,12:50:37
8,1/1/2015,12:51:37
9,1/1/2015,12:52:01
10,1/1/2015,13:00:15
11,1/1/2015,13:02:59
12,1/1/2015,13:04:41
13,1/1/2015,13:11:55
14,1/1/2015,13:14:19
15,1/1/2015,13:33:00
16,1/1/2015,13:34:07
17,1/1/2015,13:53:00
18,1/1/2015,13:57:08
19,1/1/2015,13:59:09
20,1/1/2015,14:03:08
21,1/1/2015,14:14:29
22,1/1/2015,14:16:26
23,1/1/2015,14:19:03
24,1/1/2015,14:23:01
25,1/1/2015,14:44:44
26,1/1/2015,14:54:26
27,1/1/2015,15:11:17
28,1/1/2015,15:35:46
29,1/1/2015,15:41:01
30,1/1/2015,15:41:25
31,1/1/2015,15:50:18
32,1/1/2015,15:53:18
33,1/1/2015,15:54:08
34,1/1/2015,16:21:21
35,1/1/2015,16:32:04
36,1/1/2015,16:54:09
37,1/1/2015,16:56:09
38,1/1/2015,17:03:00
39,1/1/2015,17:07:23
40,1/1/2015,17:14:36
41,1/1/2015,17:15:20
42,1/1/2015,17:28:09
43,1/1/2015,17:38:34
44,1/1/2015,17:54:20
45,1/1/2015,17:55:48
46,1/1/2015,18:25:51
47,1/1/2015,18:26:34
48,1/1/2015,18:26:42
49,1/1/2015,18:33:00
50,1/1/2015,18:41:01
51,1/1/2015,18:48:28
52,1/1/2015,18:53:02
53,1/1/2015,18:54:17
54,1/1/2015,19:01:45
55,1/1/2015,19:03:19
56,1/1/2015,19:07:00
57,1/1/2015,19:10:51
58,1/1/2015,19:30:40
59,1/1/2015,19:40:08
60,1/1/2015,20:05:16
61,1/1/2015,20:08:43
62,1/1/2015,20:50:16
63,1/1/2015,20:51:42
64,1/1/2015,20:52:08
65,1/1/2015,21:16:00
66,1/1/2015,21:47:55
67,1/1/2015,22:03:40
68,1/1/2015,22:07:32
69,1/1/2015,22:12:13
70,1/2/2015,11:38:51
71,1/2/2015,11:40:50
72,1/2/2015,11:57:25
73,1/2/2015,11:58:56
74,1/2/2015,12:01:12
75,1/2/2015,12:10:15
76,1/2/2015,12:21:17
77,1/2/2015,12:22:46
78,1/2/2015,12:28:14
79,1/2/2015,12:29:11
80,1/2/2015,12:35:38
81,1/2/2015,12:40:01
82,1/2/2015,12:45:51
83,1/2/2015,12:53:27
84,1/2/2015,13:13:41
85,1/2/2015,13:34:49
86,1/2/2015,13:40:31
87,1/2/2015,14:01:02
88,1/2/2015,14:10:08
89,1/2/2015,14:30:19
90,1/2/2015,15:08:48
91,1/2/2015,15:14:43
